segment_type,segment,n,n_pos,pr_auc,recall_at_1pct
category,gas_transport,19825,93,0.9782906423446349,0.978494623655914
category,grocery_pos,18645,261,0.9970997123776453,0.7164750957854407
category,home,18306,33,0.8641665709496396,1.0
category,shopping_pos,17698,136,0.9026459307394987,0.9264705882352942
category,kids_pets,16949,33,0.6657907146920884,0.9090909090909091
time_of_day,night,39440,872,0.9145721742985083,0.4415137614678899
time_of_day,day,155062,261,0.7216023056111273,0.9348659003831418
amount_quartile,Q1,48582,69,0.5840510221497833,0.9565217391304348
amount_quartile,Q2,48659,162,0.745222553137902,0.8888888888888888
amount_quartile,Q3,48633,11,0.18117452314711646,0.6363636363636364
amount_quartile,Q4,48628,891,0.9207232427447268,0.531986531986532
age_group,<30,69385,335,0.862917454748124,0.9462686567164179
age_group,30-50,75134,385,0.8497130489911146,0.9298701298701298
age_group,50+,49983,413,0.9147703826270108,0.9297820823244553
